age,sex,EducationLevel,Job Title,Years of Experience,fare,MoreThan5Yrs,pclass
32,male,Bachelor's,Software Engineer,5,90000,0,1
28,female,Master's,Data Analyst,3,65000,0,2
45,male,PhD,Senior Manager,15,150000,1,3
36,female,Bachelor's,Sales Associate,7,60000,1,1
52,male,Master's,Director,20,200000,1,2
29,male,Bachelor's,Marketing Analyst,2,55000,0,3
42,female,Master's,Product Manager,12,120000,1,1
31,male,Bachelor's,Sales Manager,4,80000,0,2
26,female,Bachelor's,Marketing Coordinator,1,45000,0,3
38,male,PhD,Senior Scientist,10,110000,1,1
29,male,Master's,Software Developer,3,75000,0,2
48,female,Bachelor's,HR Manager,18,140000,1,3
35,male,Bachelor's,Financial Analyst,6,65000,1,1
40,female,Master's,Project Manager,14,130000,1,2
27,male,Bachelor's,Customer Service Rep,2,40000,0,3
44,male,Bachelor's,Operations Manager,16,125000,1,1
33,female,Master's,Marketing Manager,7,90000,1,2
39,male,PhD,Senior Engineer,12,115000,1,3
25,female,Bachelor's,Data Entry Clerk,0,35000,0,1
51,male,Bachelor's,Sales Director,22,180000,1,2
34,female,Master's,Business Analyst,5,80000,0,3
47,male,Master's,VP of Operations,19,190000,1,1
30,male,Bachelor's,IT Support,2,50000,0,2
36,female,Bachelor's,Recruiter,9,60000,1,3
41,male,Master's,Financial Manager,13,140000,1,1
28,female,Bachelor's,Social Media Specialist,3,45000,0,2
37,female,Master's,Software Manager,11,110000,1,3
24,male,Bachelor's,Junior Developer,1,40000,0,1
43,female,PhD,Senior Consultant,15,140000,1,2
33,male,Master's,Product Designer,6,90000,1,3
50,male,Bachelor's,CEO,25,250000,1,1
31,female,Bachelor's,Accountant,4,55000,0,2
29,male,Master's,Data Scientist,3,75000,0,3
39,female,Bachelor's,Marketing Specialist,10,65000,1,1
46,male,PhD,Senior Manager,20,170000,1,2
27,male,Bachelor's,Technical Writer,2,45000,0,3
35,female,Bachelor's,HR Generalist,7,60000,1,1
42,male,Master's,Project Engineer,14,115000,1,2
26,female,Bachelor's,Customer Success Rep,1,40000,0,3
49,male,Bachelor's,Sales Executive,21,160000,1,1
34,female,Master's,UX Designer,5,80000,0,2
48,male,Master's,Operations Director,18,190000,1,3
30,male,Bachelor's,Network Engineer,3,60000,0,1
36,female,Bachelor's,Administrative Assistant,8,45000,1,2
41,male,Master's,Strategy Consultant,13,130000,1,3
28,female,Bachelor's,Copywriter,2,40000,0,1
32,male,Bachelor's,Account Manager,5,75000,0,2
45,female,Master's,Director of Marketing,16,180000,1,3
38,male,PhD,Senior Scientist,11,120000,1,1
25,male,Bachelor's,Help Desk Analyst,0,35000,0,2
51,female,Bachelor's,Customer Service Manager,22,130000,1,3
33,male,Master's,Business Intelligence Analyst,7,85000,1,1
40,female,Bachelor's,Event Coordinator,12,60000,1,2
47,male,Master's,VP of Finance,19,200000,1,3
29,female,Bachelor's,Graphic Designer,3,50000,0,1
36,male,Bachelor's,Sales Manager,9,95000,1,2
27,female,Master's,UX Researcher,2,65000,0,3
43,male,PhD,Senior Engineer,17,140000,1,1
30,female,Bachelor's,Social Media Manager,4,55000,0,2
35,male,Master's,Product Manager,7,105000,1,3
51,female,Master's,Director of Operations,23,170000,1,1
29,male,Bachelor's,Marketing Analyst,3,50000,0,2
